"","dateYYYYMMDD","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindSpeed","DailyPrecipitation","DailySustainedWindDirection","Sunrise","Sunset"
"1",1990-03-01,20.5416666666667,31.5,64.25,30.3620833333333,29.6070833333333,27.75,13.6666666666667,39,22,22,0,NA,NA,NA
"2",1990-03-02,26.2916666666667,38.2083333333333,62.8333333333333,29.9820833333333,29.2416666666667,33.5,12.9583333333333,47,32,20,0,NA,NA,NA
"3",1990-03-03,9.5,28.5416666666667,45.0416666666667,30.1429166666667,29.3933333333333,22.9583333333333,11.4583333333333,34,24,17,0,NA,NA,NA
"4",1990-03-04,17.1666666666667,31.5833333333333,55.7083333333333,30.1545833333333,29.4045833333333,26.875,8.29166666666667,38,23,15,0,NA,NA,NA
"5",1990-03-05,27.5833333333333,32.875,81.0833333333333,30.2670833333333,29.5211111111111,30.875,15.9259259259259,36,30,20,0.00583333333333333,NA,NA,NA
"6",1990-03-06,17.25,28.8333333333333,62.6666666666667,30.59125,29.83,25.1666666666667,19.25,31,27,24,0,NA,NA,NA
"7",1990-03-07,18.375,30.0833333333333,61.6666666666667,30.6441666666667,29.88125,26.2083333333333,15.9583333333333,36,23,20,0,NA,NA,NA
"8",1990-03-08,36.25,40.125,86.8333333333333,30.2104166666667,29.4272972972973,38.7083333333333,12.3243243243243,48,33,16,0.05875,NA,NA,NA
"9",1990-03-09,41.9166666666667,44.625,90.7916666666667,30.0970833333333,29.3555263157895,43.4583333333333,10.6315789473684,53,39,20,0,NA,NA,NA
"10",1990-03-10,46.75,47.5833333333333,97.1666666666667,30.0520833333333,29.3231111111111,47.1666666666667,8.17777777777778,62,40,15,0.00791666666666667,NA,NA,NA
"11",1990-03-11,54.5,58.5,87.875,29.9558333333333,29.2358823529412,56,11.5882352941176,73,42,23,0.005,NA,NA,NA
"12",1990-03-12,57.6666666666667,69.2916666666667,68.7083333333333,29.9095833333333,29.1954166666667,62.375,22.875,81,60,35,0,NA,NA,NA
"13",1990-03-13,61.5416666666667,67.25,82.125,29.9808333333333,29.2655555555556,63.8333333333333,11.4814814814815,72,62,16,0.00375,NA,NA,NA
"14",1990-03-14,57.9583333333333,65.125,78.125,29.7654166666667,29.0615384615385,60.875,16.8461538461538,69,61,23,0.00583333333333333,NA,NA,NA
"15",1990-03-15,46.4583333333333,58.5,64.5416666666667,29.7120833333333,28.9915384615385,52.1666666666667,22.7307692307692,68,47,40,0.000416666666666667,NA,NA,NA
"16",1990-03-16,37.6666666666667,50.6666666666667,63.625,29.79125,29.0670833333333,44.5416666666667,18.4166666666667,61,41,32,0,NA,NA,NA
"17",1990-03-17,28.7916666666667,41.0833333333333,62.5833333333333,29.7179166666667,28.99125,36.0833333333333,21.375,46,36,29,0,NA,NA,NA
"18",1990-03-18,25.25,35.8333333333333,66.7083333333333,29.9991666666667,29.2691176470588,32,15.4117647058824,43,29,23,0.00125,NA,NA,NA
"19",1990-03-19,10.9166666666667,26.625,52.5833333333333,30.3729166666667,29.6170833333333,22.0833333333333,12.0833333333333,29,24,18,0,NA,NA,NA
